x [pixel];y [pixel];x-displacement [pixel];y-displacement [pixel];Displacement [pixel];du/dx [S];du/dy [S];dv/dx [S];dv/dy [S];Vorticity w_z (dv/dx - du/dy) [S];|Vorticity| [S];Divergence 2D (du/dx + dv/dy) [S];Swirling strength 2D (L_ci) [S^2];Correlation value [];Particle size [counts];Peak ratio [];Uncertainty V [pixel];Uncertainty Vx [pixel];Uncertainty Vy [pixel];Uncertainty |V| [pixel]
8;8;0.199271;0.303009;0.362661;-0.00142677;-0.00162464;-0.00311121;-0.00116532;-0.00148656;0.00148656;-0.00259209;0;0;0.525561;0;0;0;0;0
24;8;0.176443;0.253229;0.308638;-0.00142677;-0.0192722;-0.00311121;-0.0212599;0.016161;0.016161;-0.0226867;0;0;0.621405;0;0;0;0;0
40;8;0.153615;0.20345;0.25493;-0.00151022;0.00312604;-0.00327994;-0.00235083;-0.00640598;0.00640598;-0.00386104;1.00766e-05;0;0.513319;0;0;0;0;0
56;8;0.130786;0.153671;0.201791;-0.000988689;0.00650231;-0.00221817;-0.00406188;-0.00872048;0.00872048;-0.00505057;1.20621e-05;0;0.479041;0;0;0;0;0
72;8;0.123981;0.136289;0.184244;-1.66612e-05;0.0151372;-0.000186308;-0.0125098;-0.0153235;0.0153235;-0.0125264;0;0;0.490675;0;0;0;0;0
88;8;0.129202;0.14183;0.191856;0.00069208;-0.00610329;0.000258319;-0.00354737;0.0063616;0.0063616;-0.00285529;0;0;0.582045;0;0;0;0;0
104;8;0.144139;0.144493;0.204094;0.00126823;-0.00720489;0.000437722;-0.00407561;0.00764262;0.00764262;-0.00280737;0;0;0.520577;0;0;0;0;0
120;8;0.159172;0.169707;0.232672;-0.000973481;-0.0118182;0.00467244;-0.0158722;0.0164907;0.0164907;-0.0168457;0;0;0.524157;0;0;0;0;0
136;8;0.12024;0.275263;0.300378;-0.00139537;-0.00463766;0.00432638;-0.00724893;0.00896405;0.00896405;-0.00864429;1.14983e-05;0;0.632888;0;0;0;0;0
152;8;0.124918;0.290877;0.316566;0.000760202;-0.000110552;-0.000325888;0.0126171;-0.000215336;0.000215336;0.0133773;0;0;0.779427;0;0;0;0;0
